user_id	score	date	review	is_month	is_repurch
agne***	3	17.03.23.	잘 받았어요	False	False
rlaa********	5	17.02.28.	 청바지에  입히려고 구매했어요 생각한 대로  너무 귀엽네 요원 단도 좋고  반폴라라 더  귀여워요	False	False
happ********	5	17.02.28.	너무 귀여워요 예전에 산  사이즈가 좀 큰듯하여으로 하나 더 구입했는데 너무 귀여워요 좀 타이트하게 입히는 게 이쁘긴 더 이쁘네요	False	False
smsj****	5	17.02.27.	딱 맞아야 예쁜 옷 같아요 저희 시츄 목둘레  가슴둘레  등길이  몸무게인데 완전 딱 맞게 입히고 싶어서  주문했어요  등길이가 짧지만 감안할 만큼 옠뻐요	False	False
0163******	5	17.02.26.	배송 좋아요 하이패스 같은 존재야 오늘 하루 마무리 잘하시고 내일 또 보자 무한도전 폐지 줍는 할머니 할아버지 할머니	False	False
yoon******	5	17.02.27.	진짜 귀여워요 스트라이프 목티는 처음인데 너무 이뻐요	False	False
yeon*****	4	17.02.03.	괜찮네요  배송도 빠르게 오고 가격은 뭐 나쁘지 않은 정도인 거 같아요   사이즈 했는데 생각보다 잘 맞긴 한데 엉덩이 부분만 좀 더 길었으면 좋겠네요 강아지가 맨날 긁어대서 엉덩이 부분은 피가  	False	False
yung***	5	17.03.04.	정말 귀엽네요	False	False
jang******	5	17.02.11.	쫀쫀하면서 쬐이지 않는 것 같아요 회색 후드티 안에 입히려고 샀어요 배 아래 부문 고무줄 처리되어 있어서 남자인데 오줌 쌀 때 안 묻을 것 같고요 제목처럼 쫀쫀한데 쬐이지는 않는 것 같아요	False	False
love********	3	17.02.07.	티는 보통 티는 가격에 비해 그냥저냥 보통이에요 귀엽긴 해요 이뻐요 딱 맞고 잘 입힐게요 배송도 좋고 좋네요 굿	False	False
smsj****	5	17.02.27.	쫄티 같고 귀여워요	False	False
wlsg********	5	17.02.02.	 좋아요 좋아요  귀여워요 목폴라 티 귀엽네요 다음에 또 구매하도록 하겠습니다 감사합니다	False	False
yeon*****	4	17.02.03.	괜찮네요  나름 만족하고 있긴 한데 다음에는 한 치수 더 큰 거로 사서 팔 길이는 좀 잘라내던 지하고 엉덩이를 좀 길게 입혀야겠어요  강아지가 늙어서 자꾸 긁어서 엉덩이 보호가 필요해요 	False	False
rlaa********	5	17.02.28.	아주 좋아요	False	False
hj****	4	17.01.29.	저렴하다 저렴하고 사이즈 정 사이대로 가면 되고 마감이 참 잘 되어있어요 스판끼듀 있어서 움직일 때 불편함 없이 움직일 수 있습니다 예뻐요 앞으로도 많이 살 것 같아요 좋은 상품 많이 만들어 주세요	False	False
